 110 - 2024-07-18 12:58:23,225 - root - ERROR - Error fetching URL http://3.15.93.201/ipdiversity.html: 404 Client Error: Not Found for url: http://3.15.93.201/ipdiversity.html 
 110 - 2024-07-18 12:58:23,666 - root - ERROR - Error fetching URL http://3.15.93.201/ipdiversity.html: 404 Client Error: Not Found for url: http://3.15.93.201/ipdiversity.html 
 110 - 2024-07-18 12:58:24,117 - root - ERROR - Error fetching URL http://3.15.93.201/ipdiversity.html: 404 Client Error: Not Found for url: http://3.15.93.201/ipdiversity.html 
 112 - 2024-07-18 12:58:24,118 - root - ERROR - Not found IP: 3.15.93.201 after 3 attempts 
 57 - 2024-07-18 12:58:24,118 - root - INFO - Attempting to fetch data from URL:- http://52.35.17.129/ipdiversity.html 
 57 - 2024-07-18 12:58:27,736 - root - INFO - Attempting to fetch data from URL:- http://3.129.200.198/ipdiversity.html 
 57 - 2024-07-18 12:58:28,437 - root - INFO - Attempting to fetch data from URL:- http://3.129.112.158/ipdiversity.html 
 57 - 2024-07-18 12:58:29,975 - root - INFO - Attempting to fetch data from URL:- http://44.229.154.134/ipdiversity.html 
 94 - 2024-07-18 12:58:30,478 - root - WARNING - table data not found for 44.229.154.134 
 57 - 2024-07-18 12:58:30,478 - root - INFO - Attempting to fetch data from URL:- http://54.233.212.110/ipdiversity.html 
 110 - 2024-07-18 12:58:31,122 - root - ERROR - Error fetching URL http://54.233.212.110/ipdiversity.html: 404 Client Error: Not Found for url: http://54.233.212.110/ipdiversity.html 
 110 - 2024-07-18 12:58:31,777 - root - ERROR - Error fetching URL http://54.233.212.110/ipdiversity.html: 404 Client Error: Not Found for url: http://54.233.212.110/ipdiversity.html 
 110 - 2024-07-18 12:58:32,425 - root - ERROR - Error fetching URL http://54.233.212.110/ipdiversity.html: 404 Client Error: Not Found for url: http://54.233.212.110/ipdiversity.html 
 112 - 2024-07-18 12:58:32,426 - root - ERROR - Not found IP: 54.233.212.110 after 3 attempts 
 57 - 2024-07-18 12:58:32,426 - root - INFO - Attempting to fetch data from URL:- http://52.12.117.68/ipdiversity.html 
 94 - 2024-07-18 12:58:33,199 - root - WARNING - table data not found for 52.12.117.68 
 57 - 2024-07-18 12:58:33,199 - root - INFO - Attempting to fetch data from URL:- http://100.25.207.65/ipdiversity.html 
 110 - 2024-07-18 12:58:33,617 - root - ERROR - Error fetching URL http://100.25.207.65/ipdiversity.html: 404 Client Error: Not Found for url: http://100.25.207.65/ipdiversity.html 
 110 - 2024-07-18 12:58:34,039 - root - ERROR - Error fetching URL http://100.25.207.65/ipdiversity.html: 404 Client Error: Not Found for url: http://100.25.207.65/ipdiversity.html 
 110 - 2024-07-18 12:58:34,468 - root - ERROR - Error fetching URL http://100.25.207.65/ipdiversity.html: 404 Client Error: Not Found for url: http://100.25.207.65/ipdiversity.html 
 112 - 2024-07-18 12:58:34,469 - root - ERROR - Not found IP: 100.25.207.65 after 3 attempts 
 57 - 2024-07-18 12:58:34,469 - root - INFO - Attempting to fetch data from URL:- http://3.93.209.26/ipdiversity.html 
 110 - 2024-07-18 12:58:34,894 - root - ERROR - Error fetching URL http://3.93.209.26/ipdiversity.html: 404 Client Error: Not Found for url: http://3.93.209.26/ipdiversity.html 
 110 - 2024-07-18 12:58:35,352 - root - ERROR - Error fetching URL http://3.93.209.26/ipdiversity.html: 404 Client Error: Not Found for url: http://3.93.209.26/ipdiversity.html 
 110 - 2024-07-18 12:58:35,867 - root - ERROR - Error fetching URL http://3.93.209.26/ipdiversity.html: 404 Client Error: Not Found for url: http://3.93.209.26/ipdiversity.html 
 112 - 2024-07-18 12:58:35,868 - root - ERROR - Not found IP: 3.93.209.26 after 3 attempts 
 57 - 2024-07-18 12:58:35,868 - root - INFO - Attempting to fetch data from URL:- http://52.43.89.101/ipdiversity.html 
 94 - 2024-07-18 12:58:36,361 - root - WARNING - table data not found for 52.43.89.101 
 57 - 2024-07-18 12:58:36,361 - root - INFO - Attempting to fetch data from URL:- http://34.201.78.15/ipdiversity.html 
 94 - 2024-07-18 12:58:36,796 - root - WARNING - table data not found for 34.201.78.15 
 57 - 2024-07-18 12:58:36,796 - root - INFO - Attempting to fetch data from URL:- http://44.233.172.38/ipdiversity.html 
 94 - 2024-07-18 12:58:37,280 - root - WARNING - table data not found for 44.233.172.38 
 57 - 2024-07-18 12:58:37,280 - root - INFO - Attempting to fetch data from URL:- http://54.166.88.204/ipdiversity.html 
 94 - 2024-07-18 12:58:37,715 - root - WARNING - table data not found for 54.166.88.204 
 57 - 2024-07-18 12:58:37,715 - root - INFO - Attempting to fetch data from URL:- http://34.208.110.185/ipdiversity.html 
 94 - 2024-07-18 12:58:39,825 - root - WARNING - table data not found for 34.208.110.185 
 57 - 2024-07-18 12:58:39,826 - root - INFO - Attempting to fetch data from URL:- http://3.23.58.217/ipdiversity.html 
 94 - 2024-07-18 12:58:40,280 - root - WARNING - table data not found for 3.23.58.217 
 57 - 2024-07-18 12:58:40,280 - root - INFO - Attempting to fetch data from URL:- http://54.161.249.200/ipdiversity.html 
 94 - 2024-07-18 12:58:40,714 - root - WARNING - table data not found for 54.161.249.200 
 57 - 2024-07-18 12:58:40,714 - root - INFO - Attempting to fetch data from URL:- http://18.230.50.18/ipdiversity.html 
 110 - 2024-07-18 12:58:41,362 - root - ERROR - Error fetching URL http://18.230.50.18/ipdiversity.html: 404 Client Error: Not Found for url: http://18.230.50.18/ipdiversity.html 
 110 - 2024-07-18 12:58:42,113 - root - ERROR - Error fetching URL http://18.230.50.18/ipdiversity.html: 404 Client Error: Not Found for url: http://18.230.50.18/ipdiversity.html 
 110 - 2024-07-18 12:58:42,767 - root - ERROR - Error fetching URL http://18.230.50.18/ipdiversity.html: 404 Client Error: Not Found for url: http://18.230.50.18/ipdiversity.html 
 112 - 2024-07-18 12:58:42,767 - root - ERROR - Not found IP: 18.230.50.18 after 3 attempts 
 57 - 2024-07-18 12:58:42,767 - root - INFO - Attempting to fetch data from URL:- http://35.162.99.135/ipdiversity.html 
 110 - 2024-07-18 12:58:43,261 - root - ERROR - Error fetching URL http://35.162.99.135/ipdiversity.html: 404 Client Error: Not Found for url: http://35.162.99.135/ipdiversity.html 
 110 - 2024-07-18 12:58:43,738 - root - ERROR - Error fetching URL http://35.162.99.135/ipdiversity.html: 404 Client Error: Not Found for url: http://35.162.99.135/ipdiversity.html 
 110 - 2024-07-18 12:58:44,234 - root - ERROR - Error fetching URL http://35.162.99.135/ipdiversity.html: 404 Client Error: Not Found for url: http://35.162.99.135/ipdiversity.html 
 112 - 2024-07-18 12:58:44,234 - root - ERROR - Not found IP: 35.162.99.135 after 3 attempts 
 57 - 2024-07-18 12:58:44,234 - root - INFO - Attempting to fetch data from URL:- http://3.22.115.184/ipdiversity.html 
 94 - 2024-07-18 12:58:44,696 - root - WARNING - table data not found for 3.22.115.184 
 57 - 2024-07-18 12:58:44,696 - root - INFO - Attempting to fetch data from URL:- http://52.14.194.235/ipdiversity.html 
 94 - 2024-07-18 12:58:45,181 - root - WARNING - table data not found for 52.14.194.235 
 57 - 2024-07-18 12:58:45,181 - root - INFO - Attempting to fetch data from URL:- http://100.26.13.152/ipdiversity.html 
 110 - 2024-07-18 12:58:45,598 - root - ERROR - Error fetching URL http://100.26.13.152/ipdiversity.html: 404 Client Error: Not Found for url: http://100.26.13.152/ipdiversity.html 
 110 - 2024-07-18 12:58:46,021 - root - ERROR - Error fetching URL http://100.26.13.152/ipdiversity.html: 404 Client Error: Not Found for url: http://100.26.13.152/ipdiversity.html 
 110 - 2024-07-18 12:58:46,519 - root - ERROR - Error fetching URL http://100.26.13.152/ipdiversity.html: 404 Client Error: Not Found for url: http://100.26.13.152/ipdiversity.html 
 112 - 2024-07-18 12:58:46,519 - root - ERROR - Not found IP: 100.26.13.152 after 3 attempts 
 57 - 2024-07-18 12:58:46,519 - root - INFO - Attempting to fetch data from URL:- http://100.26.12.102/ipdiversity.html 
